cle,defaut_registre,statut_lecture,phase_prouvee,unites_compilation_lectrices,references_source
MINT_ROYALTY,0.60000002,lecture moteur presente,non certifiee individuellement,scps\scps_econ.c,scps\chronicle.c:1526; scps\chronicle.c:1536; scps\scps_econ.c:4011
MINT_AI_SHARE,0.60000002,lecture moteur presente,non certifiee individuellement,scps\scps_econ.c,scps\chronicle.c:1536; scps\scps_econ.c:2566
MINT_PARITY_GOLD,16,lecture moteur presente,non certifiee individuellement,scps\scps_econ.c,scps\chronicle.c:1507; scps\chronicle.c:1535; scps\scps_econ.c:2642; scps\scps_econ.c:2652; scps\scps_econ.c:5836
MINT_PARITY_COPPER,5.1999998,lecture moteur presente,non certifiee individuellement,scps\scps_econ.c,scps\chronicle.c:1508; scps\chronicle.c:1535; scps\scps_econ.c:2642; scps\scps_econ.c:2652; scps\scps_econ.c:5836
MINT_FREE_BUY_FRAC,0.15000001,lecture moteur presente,non certifiee individuellement,scps\scps_econ.c,scps\scps_econ.c:5779
MINT_FREE_STOCK_FLOOR_FRAC,0.5,lecture moteur presente,non certifiee individuellement,scps\scps_econ.c,scps\scps_econ.c:5780
MINT_FULL_PARITY,1,lecture moteur presente,non certifiee individuellement,scps\scps_econ.c,scps\credit_demo.c:343; scps\credit_demo.c:376; scps\credit_demo.c:385; scps\scps_econ.c:5817; scps\scps_econ.c:5862
MINT_ALLOY,1,lecture moteur presente,non certifiee individuellement,scps\scps_econ.c,scps\chronicle.c:1534; scps\credit_demo.c:322; scps\credit_demo.c:386; scps\credit_demo.c:667; scps\credit_demo.c:722; scps\credit_demo.c:726; scps\scps_econ.c:2594; scps\scps_econ.c:2623; scps\scps_econ.c:5792; scps\scps_econ.c:5910
MINT_ALLOY_VALUE,32,lecture moteur presente,non certifiee individuellement,scps\scps_econ.c,scps\chronicle.c:1534; scps\scps_econ.c:2631; scps\scps_econ.c:5799; scps\scps_econ.c:5914
DEBASE_BILLON,1,lecture moteur presente,non certifiee individuellement,scps\scps_econ.c,scps\chronicle.c:1537; scps\scps_econ.c:2638
DEBASE_DROUGHT,1,lecture moteur presente,non certifiee individuellement,scps\scps_econ.c,scps\chronicle.c:1538; scps\credit_demo.c:759; scps\credit_demo.c:763; scps\scps_econ.c:2594
DROUGHT_PAIR_MIN,1,lecture moteur presente,non certifiee individuellement,scps\scps_econ.c,scps\chronicle.c:1538; scps\scps_econ.c:2597
INFLATION_CAP,2,lecture moteur presente,non certifiee individuellement,scps\scps_agency.c; scps\scps_ai.c; scps\scps_api.c; scps\scps_army.c; scps\scps_campaign.c; scps\scps_credit.c; scps\scps_decrees.c; scps\scps_demography.c; scps\scps_diplo.c; scps\scps_doctrines.c; scps\scps_econ.c; scps\scps_endgame.c; scps\scps_events.c; scps\scps_factions.c; scps\scps_fog.c; scps\scps_influence.c; scps\scps_intertrade.c; scps\scps_labor.c; scps\scps_legitimacy.c; scps\scps_missions.c; scps\scps_navy.c; scps\scps_prosperity.c; scps\scps_readout.c; scps\scps_religion.c; scps\scps_render.c; scps\scps_revolt.c; scps\scps_routes.c; scps\scps_save.c; scps\scps_sim.c; scps\scps_statecraft.c; scps\scps_toponym.c; scps\scps_trade.c; scps\scps_warhost.c; scps\scps_world.c,scps\scps_econ.c:4056; scps\scps_econ.h:933
GOLD_DISCOVERY_RATE,0.5,lecture moteur presente,non certifiee individuellement,scps\scps_events.c,scps\scps_events.c:218; scps\scps_events.c:921
GOLD_DISCOVERY_MTTH_BOOST,3,lecture moteur presente,non certifiee individuellement,scps\scps_events.c,scps\scps_events.c:4207
ENTRETIEN_DIV,400,lecture moteur presente,non certifiee individuellement,scps\scps_econ.c,scps\scps_econ.c:3119; scps\scps_econ.c:4773
JOB_UPKEEP_TAX_FRAC,0.60000002,lecture moteur presente,non certifiee individuellement,scps\scps_econ.c,scps\scps_doctrines.c:99; scps\scps_econ.c:3139
JOB_UPKEEP_PRICE_FLOOR,0.5,lecture moteur presente,non certifiee individuellement,scps\scps_econ.c,scps\scps_econ.c:3137
COURT_FLOOR,4000,lecture moteur presente,non certifiee individuellement,scps\scps_credit.c; scps\scps_econ.c,scps\scps_credit.c:783; scps\scps_credit.c:1003; scps\scps_econ.c:3077
COURT_MONTHS,60,lecture moteur presente,non certifiee individuellement,scps\scps_econ.c,scps\scps_econ.c:3078
COURT_RATE,0.0099999998,lecture moteur presente,non certifiee individuellement,scps\scps_econ.c,scps\scps_econ.c:4834
ADMIN_BASE,0.40000001,lecture moteur presente,non certifiee individuellement,scps\scps_econ.c,scps\scps_doctrines.c:143; scps\scps_econ.c:4850; scps\scps_econ.c:4850
ADMIN_EXP,1.2999999,lecture moteur presente,non certifiee individuellement,scps\scps_econ.c,scps\scps_econ.c:4851
